text,label,pred,prob
"блять , с посадкой на бутылку и чечнёй это уже пиздец какой - то . в чём прикол , объясните ? тверк или усы гитлера это ещё можно понять , а эта хуйня какие эмоции должна вызывать ? ? ?",1,0,0.41815627
"не смешите меня , даже на самой населенной трассе москва - петербург пассажирооборот 3 , 6 миллиона человек в год . где вы найдете этих туристов ? во - вторых , эти поезда не будут останавливаться в этих городках , это бессмыслица . и это города ничего не получат от нее , кроме перекрытых за полчаса дорог . и забора вдоль нее",1,0,0.11580756
"там сидят отбитые дебилы , которые уже 500 тредов шутят про одно и тоже из треда в тред и живут в своём манямирке где они придумали то , что мэд их читает и плачет по ночам и вообще они разъебывают всех .",1,0,0.31082582
"тебя бы в первых рядах на эту войну погнали , дурик . потом кричал бы в объектив камеры: не хочу умирать ! отпустите - вы же добрые !",1,0,0.41290402
"никаких паразитов нет , делали укол ( не помню название ) от паразитов ( вет когда сделал , сказал на всякий случай )",1,0,0.08983728
"так с чего вы взяли , что он ненавидит русских ?",1,0,0.4983291
ну и как теперь без звоночков жить снова ? !,0,1,0.62153924
"t ладно мужик забеременел лол , как новорожденный плод извлекать ? только кесарево сечение получается ?",1,0,0.4637752
"посмотри любой мотиватор к богатству там говорят не бойтесь рисковать ставьте на кон все что есть и разбогатеете , родители мажора не зассали поставить на кон свою свободу или деньги или свои дырочки не знаю что бы попытаться поднять пару лям и их вложить в бизнес в идеале пассивный и богатеть , а еще тупорылые держат деньги под матросом и их съедает инфляция , ( пример на 1000 руб мог купить 1000 жваче , а через месяц на те же 1000 руб только 960 штук почему ? потому что 4 в месяц инфляция ) и богатые деньги держат в работе что бы они работали банковский влад в рашке особенно хуйня выйгрыш только 1 или 3 в иделе , что мало ведь в рф в среднем процент по вкладам 8 - 4 инфляции в год после 4 годовых чистыми - 1 с натекшего как налог и комиссии 3 дохода годовых в идеале пример 1 000 000 вклада под 3 годовых это набежит всего 30 000 руб за год блядь , или 2 500 в месяц , ахахаха кароче банковские вклады хуйня купи на 1 000 000 руб флешек с китая по 100 руб за штуку и продай за 500 рублей и того 5 000 000 руб чистыми с этого дела или 416 666 руб в месяц или 13 888 в день , ты можешь так стать олигархом тоже епта .",1,0,0.35020965
"пиздец , озонизация прогрессирует",1,0,0.26852408
детей - инвалидов уродами ну а где она не права - то ? земля наша не резиновая .,1,0,0.3850239
"так не ноль , а нуль . так как математику подменили , осмелюсь предположить , что в системе счёта древних русов , нуль - это не то же самое , что и ноль мимо",1,0,0.09019373
"та шо там хаварить , скатился пожилая скумбрия . маска все чаще слетает . раньше был нормальным а сейчас стал натуралом . ой то есть хеем .",1,0,0.38364246
мне одному его фамилия вечно слышится как омежко ?,1,0,0.22456998
фотографии президента рф в фашистской форме когда не нужна даже фамилия . царь он и есть царь .,1,0,0.15744393
то на них пьяное быдло просто так напало и они его убили пьяное быдло плиз,0,1,0.8931314
помню у выжигателей мозгов нам от долга сильно досталось . . .,1,0,0.2760199
крупнейший провайдер австралии заблокировал мировая практика как бы,0,1,0.67658424
"квинтэссенция человеконенавистничества в этих словах ротшильда . и после этого ещё некоторые не верят , что капитал есть источник фашизма . тупые люди не смогут стать богатыми , а умные смогут . ага , поэтому давайте сильно затрудним доступ к образованию , а то образование , что есть и без которого не обойтись , сделаем максимально узкоспециализированным , что бы человек сразу превращался в тупого , сделав лишь шаг в сторону от своей специализации . тогда можно будет бесконечно долго жить припеваючи , присваивая результаты труда этих людей . тупые всегда в итоге будут работать на умных . это скользкая дорожка: тупые не смогут поддерживать общественное производство , а умные могут начать соображать , что к чему . поэтому в итоге подобная система развалится , в один прекрасный день , как песочный замок . но водить за нос трудовой народ они могут еще долго .",1,0,0.1499399
"вещей нет , сама на иждивении мужа нахожусь ! пятое - десятое ! нет ли у вас какого - нибудь дурака на примете ?",0,1,0.59928477
прикольный чувак имхо . флешмоб с проститутками доставил .,1,0,0.21041407
"поймал а теперь становись на колени , тарас . будем тебе в пятак письками тыкать .",1,0,0.385393
но тот мерзкий но тот слился фикс,1,0,0.44198802
косметика или косметическая операция ?,0,1,0.59498537
скопил ! аха - ха - ха - ха ! скопил ! во отмочил шутку ! ),1,0,0.4001957
", оскорбление пользователя пикабу .",0,1,0.5417754
"ну если фейковые и недостоверные новости для тебя это источник всех твоих доводов , то вопросов нет . пиши и дальше подобные посты",1,0,0.17747559
так себе вариант работать бесплатно . жрать же что - то нужно,0,1,0.56330657
ну они будут писать отказы от госпитализации лечения .,0,1,0.6504377
"совершенно очевидная слабость ольгино из фбк они никогда не смогут поверить и даже допустить своё собственное существование . они всегда будут доказывать что их не существует , а кто верит в них тот дурак .",1,0,0.35797808
"я так пишу потому что делаю это с телефона . и ради кого тут собственно редактурой заниматься ? судя по тому что аргументация у тебя скатилась к передергиванию , считаю что твой интеллект в этом споре себя исчерпал , мальчик .",1,0,0.3041656
"купил электро бритву от филипс , бреюсь без воды , кремов и всякой этой херни . забыл что такое покупать лезвия каждый месяц и остальные расходники .",0,1,0.51355815
имеет . а причем тут говно - очки ? для красного словца видать .,1,0,0.103848726
"два великовозрастных долбоеба приняли ислам именно в этой мечети . мамка - шлюха и куколд - отчим с этим не смогли ничего сделать , и дебилы отправились в запрещенное в россии террористическое государство . там , посредством роботизированного средства доставки демократии они вновь приняли ислам , теперь уже по настоящему .",1,0,0.48845014
"некуда бежать . бомбардировка пфорцхайма показала , что любой город и любой дом там могут быть объявлены военной целью .",0,1,0.5774539
"не выпустил ролик про оптимизацию в он же не специалист , такие вещи он берёт из гугла , зато умеет пиздеть , одну и ту же мысль растянет на 20 минут .",0,1,0.70580214
"ну давай разберём всё тобой написанное . бляядь , вы действительно думаете вы лучше пидорашек ? ну в целом , всё что живёт в рашке - затронуто говномидасом , но никто тут это не признает . сейчас воспитывают массу хороших кодеров в соседнем треде обоссали уже . иди обтекай . вы унижаете русских детей в школе я учился в рашке и у нас был класс , который состоял онли из русачков . думаешь , что то изменилось ? чурки тебе говна в жопу залили и заставили русачков в классе кошмарить омежных русачков ? я не люблю выражаться фразами нациков , но вы воистину столетия просто сидели в горах и ебали баранов , вас даже народ - пидор смог захватить . плоховато ты знаешь историю . когда русня пришла на кавказ , тут всё уже было поделено османами и персами . а потом ри наебала персов и постоянно нападала на османов высасывая причины из пальца , в принципе , русачки , что от них ещё было ожидать . в прошлом вы ( чеченцы , даги и прочие сорта ) были просто дикарями . . . а если говорить о среднеазиатах , которые бугуртят с оккупации , то вы были обычными нищими кочевниками очередной акт незнания истории . например у кавказцев по факту у народов отвественных за этногенез дагов и азеров уже был дербент , а русачков даже в планах не было . почитай историю кавказа и средней азии , там были и локальные империи и нагибы округи и прочее и прочее . называют русских пидорашками , славщитом . говоришь это так , будто бы в этом что то плохое . у меня знакомые po рашеры irl , которые являются русскими и которые ссут на русню с ещё большей колокольни чем я сейчас вас все боятся потому , что если пидорашка сделает в вас пару дырок , защищая себя , то его посадят на бутылку , а если вы убьёте пидорашку , то вам нихуя не будет . может потому что в рашке мочить с волыны ножа человека , который идёт на тебя с кулаками - превышение пределов самообороны ? кто виноват в том , что русня настолько вырожденческая , что один чеченский доходяга ставит на колени группу русачков ? ты думаешь , будь руснявая гопота менее вырожденческая , то так же людей не кошмарила ? кто виноват , что вы морозитесь или даёте по съебатору , когда видите , как вашего славянского друга избивают унижают ? да чего уж там , тот митинг вспомните , где жирик , какого то парня на колени поставил и все вокруг стоят и снимают , словно стадо руснявых баранов . зуб даю , в той толпе стояли его друзья и знакомые . лично для меня это пиздец , особенно проигрываю , когда там не какой нибудь братуха - борцуха , а смарчёк чеченский . никогда бы не бросил и не бросал друга в таком пиздеце и не важно , какой нации был друг , а какой нападавший . вся ваша проблема не том , что вы слабками , не в том , что большинство русачков еблом похож на свинью , не в том , что за тысячу лет существования не смогли построить нормальную цивилизацию и другим не давали . проблема в обыкновенной ошибке выжившего , вы видите кавказское быдло гопника , потому что оно в среднем сильнее , напористее , агрессивнее и образ кавказца , как лица которое представляет опасность выжигается у вас в мозгах , при этом не хотите замечать , что у вас , целые города набитые руснявыми ауешниками , потому что один среднестатистический руснявый гопник ауешник быдлойд сосёт у одного среднестатистического чуркобесского гопника быдлойда . в конечном итоге русачков в станице кущевской ебал кто ? другие русачки . в школу приезжали и выберали лолей на поёбку кто ? другие русачки . сжигал русачков кто ? другие русачки . всё вскрылось совершенно случайно . сколько таких станиц , деревень и городов по всей рашке ? аз - кун",1,0,0.26817995
"они занимаются явным черрипикингом . пример: 1 ) показывают инфографику сравнения и превосходства российского вооружения над западными странами , но почему то не показывают такую же инфографику о продолжительности жизни , средней месячной зарплате , спиде ? ; 2 ) сегодня смотрел новости утром . показывают новость: украинский военный флот давно стал темой шуток в сети и показывают видеоролик какого - то ютубера , в котором он смишняво про него шутит . хорошо , про украинский флот и аэрофлот и правда шутят в сети , но почему вы тогда никогда не показывали , как шутят в сети про президента пыню , или как в сети высмеивают его рост ? ну и третье: до трети новостей это всегда хохлы , а на политических ток - шоу вроде 60 минут хохлам отводиться 90 эфирного времени .",0,1,0.62270004
цитата . . . а негодные - могут в тылу работать .,1,0,0.1262568
"кто за рулем то , че съябывал ?",1,0,0.20188494
"надень маску . ну одень на лицо уже маску ! надели маску , одели на лицо что - то . боюсь представить где есть этому опровержение . это же доходчиво . паспорт кладется , снег ложится . почему вы упертые такие бываете ?",1,0,0.3922444
подписывайся на певдса ! ! 11,1,0,0.47128576
"тебя , видать , никогда голодная стая не подкарауливала . ну - ну , всему свое время , мой юный наивный и пока ещё целый друг .",1,0,0.36771852
"антисоветских достаточно . и вы так говорите , как будто это что - то плохое . слава богу , ваш проклятый совок закончился . сейчас ваш хозяин ворошит эту тему вашими руками , но второй совок ему не построить . и либеральных тоже . да , я либерал , по - вашему - либераст ( как будто ваши инвективные искажения слов исказят их смысл , надейтесь дальше ) . я рожден свободным . кто - то выбирает лизание сапог хозяину , это их право , тоже вариант свободы . что же касается русофобии - это просто ваша манипуляция . безграничная любовь к начальству , поклонение жестоким демиургам туманного прошлого , боязнь свободы и привычка к стойлу и узде - это не обязательные черты русского характера , и если они кому - то не присущи - не обязательно это русофоб .",1,0,0.136725
"короче не нашёл , походу удалили , фейк был наверное . обидно , так хотелось утереть твой неверующий нос , ты б знал ) остывающий пукан трещит со звуком как потрескивает заглушенный двигатель на морозе",1,0,0.42151797
"то не число пи , а какой - то азиатский иероглиф , типа чаевые . внизу цифра больше , чем выше , значит чаевые это процент . все нормально . и вообще тут возможно округлено для упрощения оплаты . или хотите мелочью оплатить ?",0,1,0.797268
"да у любого среднего монитора цветопередача будет лучше , чем у телевизора",0,1,0.62713706
традиционный гей - четверг . делаем пузыри с рыбами в космосе .,1,0,0.19862981
"а зачем рожать ( или родиться ) , если может вырасти долбоёб ?",1,0,0.267166
суть: росстат политизирован на 200 и выдаёт новости какие надо первому каналу а какие ты новости то хотел ? независимых сми здесь нет . . . что скажут - то и вещают . демократия епт,0,1,0.65596545
"что педофилы католики , алчные до анусов мальчиков , что православные попы воры , алчные до богатств , что муслимы и жиды , буддисты , и другие азиатские обезьяны , приверженцы прочих обезьяних верований - всё одна шайка лейка , подлежащая полному уничтожению .",1,0,0.47773144
файжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжж . жжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжэзш . х не,0,1,0.9828964
"да гомофобам плевать на достоверность , на пруфы , там - то мозга нет по определению , лол )",1,0,0.13174206
"ага , ебёшься с девушкой , а вокруг тебя ещё куча людей ебётся",0,1,0.7096923
"да вроде также делаю , спасибо ! !",0,1,0.63958746
"не , про засекречивание имущества нармас новость",0,1,0.62006384
"хорошо , но потом все равно сжечь ведьму",1,0,0.13386983
подустал браток . . . ностальгирующий критик тупой мудак .,1,0,0.35728335
с каких пор гомосексуалы и трансгендеры - это одно и то же ?,1,0,0.10496139
жаль второй сезон всосный всё равно,0,1,0.8552011
"в столице украинское быдло , а это именно быдло , тупое и полное шовинизма , поддерживает по старой памяти советская многонациональная интеллигенция . особенно евреи . а среди националистов за украину как раз гитлердрочеры со средним образованием с рабочих окраин , а против: паства егорки , где каждый второй с двумя высшими , куча народа живет за рубежом , а некоторые как карлин и ролло из националистических убеждений переезжают с запада в рф . но в последнее время все меньше и меньше идиотов среди националистов поддерживают украинцев . егорка победил .",1,0,0.36303258
а соседи - то чем достали ? собака лаяла ?,1,0,0.092515066
"не то , чтобы раздражают . . это как при задержании: всё что ты скажешь , будет обращено против тебя . дамочки знают о моём статусе , пробили мои возможности , но тем не менее , посягаются на святое в локальной морали - на семью . 1 . вопрос - с какой целью ? реально цели бывают разными , не всегда итог: создать ячейку вот именно с этим представителем . . если интересуются , как человеком с твоим внутренним миром и прочим - сразу отказ . иначе затянет , придётся выкручиваться . если решить что - то , или разбить семью - ну . . могу поиграть , пойти на встречу . переспать ? - легко , но вот продолжения не будет . естественно , за то , что воспользовался тем , что предложили - требует оплаты . мыж в век рынка живём . если пытаются крутить - резкий разрыв любых отношений . я то перед молодой женой - в любом случае оправдаюсь , да и нет такой доказательной базы . а вот хитровыдуманной может быть худо . в то , что девушку на 20 лет моложе меня может заинтересовать моё тело , или , скажем , навыки секса , я не верю . и даже если это будет так - сразу 1 пункт , не дай бог привяжусь к такой извращенке . одна есть уже . но , если я вдруг и привяжусь - буду часть того , что имею отдавать . за всё нужно платить . хотя я за разовые акции , а не за долговременные обязательства . теперь про ресурсы . в первом браке я был монахом . ни ни . мораль не давала , хотя бабло и возможности были уже тогда . когда встретил настоящую жену - всё было вообще шикарно , чтоб не тормозить на ней . но привязался к ней . и кобелить , мне в жопе шила нет . просто , как вы точно заметили - сам внимание привлекаешь . ну , раз - два в год кто - то и решается . приходится принимать решение . короче - я плачу , значит и музыку в отношениях заказываю я . а вот один из моих помощников 19 лет - спортсмен , красавец , язык подвешен , гроза девчонок - он сразу себя вёл , как я сейчас . ну так и ресурсы у него сразу были . природные . извиняюсь , за сумбур , возможно не ответил чётко . но на медовую ловушку я уже пойман . остальные женщины - только тела . с проблемами , но без души . для меня .",1,0,0.13992478
у них с логикой как раз все в порядке .,1,0,0.018813035
"ответь лучше , почему коммибляди так пиарят кровавое воскресенье ? ну да , расстреляли пару десятков шариковых , но это же блядь капля в море по сравнению с тем что устроили сами совки при красном терроре или при сталине .",1,0,0.29821548
и это великая нация . . . грустно,1,0,0.06893952
"послать нахер в суд , пусть за все годы кроме исковой давности сосут - 3 . но облажался ты таки . договор с них до суда вряд ли выбьешь .",1,0,0.3311737
покажи мне на фото хоть одну вырванную губу или кобылу захлебнувшуюся ?,1,0,0.41406742
"спать пора , а то я куни пони прочитал , думаю совсем ебнулись что - ли .",1,0,0.48107928
"ага , они тоже плоские , как и земля и солнце и луна . . . , - стрельнул пукан у сами знаете кого",1,0,0.32380745
и тебя чмоки что на 23 февраля получил ?,1,0,0.2168395
"мань , я бывал в сша и свои фантазии оставь при себе .",1,0,0.08328071
такое ощущение что сеть просто искажает готовые фото .,0,1,0.69187623
"защита от химки , яо и противотанковых средств это явно не от народа , дурачка та не включай тут как бы фиделя вспомнить , учитывая врагов , защита лишней не бывает . . .",1,0,0.30994728
какой - то лысый интерес у тебя (,1,0,0.04352655
хиккан своих зрителей совсем за дегенератов держит .,1,0,0.43517384
"а вообще чувак гений , просто подумайте , даже если бы она сказала ок давай расставаться , он бы избежал как минимум неловкой ситуации . ну или в худшем случаи 5 - 10 лет жизни не потратил бы на нее .",1,0,0.20372601
вроде же к 14ф обещали . опять сроки перенесли ?,0,1,0.6836982
именно икранчики у гнусмусов прям за душу берут,1,0,0.45455128
"конечно , конечно ! ты прав ! ой , какой я тупой . . . извините , больше не позволю высказывать свое мнение , и свои знания . как недальновидно - то . . .",0,1,0.5312887
почему от тебя так смердит впарашей ?,1,0,0.19602442
и мозги тоже шкребёт ),1,0,0.250116
"шшшшшш , тш тш тш тшшшш , спокойно , всё хорошо , я прикалываюсь ; - ) грамматик доминатус !",1,0,0.2853711
"если это бабы - борцуны за равноправие , то зачем они выглядят - как мужчины ? они уподобились своим угнетателям ?",1,0,0.12794955
"запись лекции будет ? в прошлый раз , я помню , какой - то анон сюда скидывал лекцию про италию .",1,0,0.40415645
норм . все топливо да топливо .,0,1,0.5546564
"это как заказывать проститутку похожую на бывшую , а потом выебать её рыдать ей в жилетку и рассказывать о своей бабе .",1,0,0.44482493
"ну не , у тебя бомбит от того что богатые люди деньги на кокс и шлюх тратят и еще что - то там эппл говна в жопы заливает , видимо заставляет нищих ниггеров покупать свою продукцию и оббирает до нитки . ты же просто социалист , который понял что планчик не работает , но который все равно хочет зарегулировать , обложить налогами , залезть каждому в карман и указывать на что тратить деньги , а потом обосраться и получить венесуэлу недоумевая от зарплат как в африке и вереща на плохого барина . расовый состав погибших детей пожалуйста .",1,0,0.3561358
"конечно , это я рвусь и засираю тред своими шизоидными пастами . очевидно это я испытываю батхерт от успешности нестермана .",1,0,0.4720313
не сказать . многие гражданским браком называют сожительство . из той же серии .,0,1,0.5735216
"видимо действительно дебил , в 8 лет физиология ещё не работает , чтобы трахать кого - то . разве что фаллоимитатором , но кто его продаст восьмилетнему ?",1,0,0.40503317
