text,label,pred,prob
"как же я ору со свободного рынка и добровольного обмена . светов , будучи типичным беззаботным мажором , видимо не слышал поговорку кто тонет нож подай , и за нож ухватится . педофил - миша никогда в своей жизни не был в такой ситуации , не чувствовал голод . ему оскорбительна сама мысль о несвободном обмене . а что самое уморительное , так это то , что анкапы как не могли привести пример добровольного обмена , так и не могут .",1,0,0.16687137
керум да рожаш . но меня не расстреляли ),1,0,0.06001051
"u zagori na izvoru rijeke ikole stala bra a da obrane na e domove , stoji hrvat do hrvata , mi smo bra a svi ne ete u avoglave dok smo ivi mi",0,1,0.5099206
"у меня тоже всю жизнь коты , но здоровье ты не вернёшь и вот стоит оно того ?",0,1,0.65165615
какой гейт отъехал ? текст автора внимательно читаем и не тупим,0,1,0.88639593
"есть такая чудная вещь - пароочиститель , температуры пара , мне кажется хватило бы . и насадки для мебели есть специальные .",0,1,0.61901385
"я типа защитник зоо . ты прав , собаки гавкают , пытаются укусить когда спиной . меня кусала так стайная собака . но я сам решил сократить дорогу через брошенную стоянку железнодорожников . с тех пор я не лезу в такие места и не поворачиваюсь к таким собака спиной . если надо пройти такое место я тщательно взвешиваю свои силы , если вижу собаки не крупные полно камней и мне желательно срезать - пройду . если собаки крупные , много их и подручного хлама нет - я не пойду . простые правила и меня с тех пор больше не кусали собаки . обычно собаки просто охраняют территорию . причем та же гавкаюшая стая обычно агрессивна на своей территории и труслива на чужой . бывают , когда собаки с голодухи пытаются охотиться . обычно это в зимнее время , когда жрать нечего . с понимаем отношусь к ним , но естественно охоты на людей быть не должно . значит этих собак нужно изымать из свободного обитания . как это должно работать ? 1 . заметили новую стаю собак у себя - звонок в полицию , в службу отлова . собак централизованно , законно ловят и увозят в питомники . если появилась собака , которая проявляет агрессию , хоть немного погавкала - звонок . но я никак не могу одобрить действия ублюдков , которые давят животных и хвастаются этим , убивают всех собак подряд , разбрасывают отраву .",1,0,0.38659912
щищенцы на аналогичном видосе хотели заставить такого барыгу сожрать его товар . по - моему это лучшее решение .,1,0,0.428458
"ооочень спорная личность . чистая игра это точно не про него . коллеги по пилатону до сей поры крайне не охотно его вспоминают . а вот спонсоры и прочие эффективные менеджеры , слагают оды .",0,1,0.5672074
"не смешите меня , даже на самой населенной трассе москва - петербург пассажирооборот 3 , 6 миллиона человек в год . где вы найдете этих туристов ? во - вторых , эти поезда не будут останавливаться в этих городках , это бессмыслица . и это города ничего не получат от нее , кроме перекрытых за полчаса дорог . и забора вдоль нее",1,0,0.094962046
"никаких паразитов нет , делали укол ( не помню название ) от паразитов ( вет когда сделал , сказал на всякий случай )",1,0,0.07735577
ну и как теперь без звоночков жить снова ? !,0,1,0.5497955
"полтинник это околоширокоугольник особенно на кропе полтинник это нормальный объектив . то есть , не ширик , и не телевик , а объектив с нормальной передачей перспективы . на полном кадре . на кропе он телевик , кроп ведь сужает угол поля зрения объектива . околоширокоугольник он на среднем формате .",0,1,0.57767355
"передайте , который меня в чс кинул , что это не русский портал . то , что тут посты выходят на русском ещё на означает , что он русский . тут сидят люди с украины , беларуси , казахстана и других стран , в которых разговаривают на русском .",0,1,0.5739731
"посмотри любой мотиватор к богатству там говорят не бойтесь рисковать ставьте на кон все что есть и разбогатеете , родители мажора не зассали поставить на кон свою свободу или деньги или свои дырочки не знаю что бы попытаться поднять пару лям и их вложить в бизнес в идеале пассивный и богатеть , а еще тупорылые держат деньги под матросом и их съедает инфляция , ( пример на 1000 руб мог купить 1000 жваче , а через месяц на те же 1000 руб только 960 штук почему ? потому что 4 в месяц инфляция ) и богатые деньги держат в работе что бы они работали банковский влад в рашке особенно хуйня выйгрыш только 1 или 3 в иделе , что мало ведь в рф в среднем процент по вкладам 8 - 4 инфляции в год после 4 годовых чистыми - 1 с натекшего как налог и комиссии 3 дохода годовых в идеале пример 1 000 000 вклада под 3 годовых это набежит всего 30 000 руб за год блядь , или 2 500 в месяц , ахахаха кароче банковские вклады хуйня купи на 1 000 000 руб флешек с китая по 100 руб за штуку и продай за 500 рублей и того 5 000 000 руб чистыми с этого дела или 416 666 руб в месяц или 13 888 в день , ты можешь так стать олигархом тоже епта .",1,0,0.4454418
"пиздец , озонизация прогрессирует",1,0,0.3756242
"речь не про фильм , смотрел этот трэш . реально проводился эксперимент . давно читал об этом .",0,1,0.6574765
"так не ноль , а нуль . так как математику подменили , осмелюсь предположить , что в системе счёта древних русов , нуль - это не то же самое , что и ноль мимо",1,0,0.10908174
мне одному его фамилия вечно слышится как омежко ?,1,0,0.29408354
фотографии президента рф в фашистской форме когда не нужна даже фамилия . царь он и есть царь .,1,0,0.19573349
то на них пьяное быдло просто так напало и они его убили пьяное быдло плиз,0,1,0.982321
помню у выжигателей мозгов нам от долга сильно досталось . . .,1,0,0.36881143
"т . е . приветствовали нарушение установленных показателей по производству , добыче и т . п . ? откуда брали сырье для сверхплановой продукции ? институт госплана работал годами , учитывая все нюансы производств , делали планы , а все их нарушали и за это еще и получали поощрения ? я пытаюсь просто понять смысл . ну сделал ты миллион лишних гаек - зачем и кому они нужны , их некуда девать , их использование не запланировано . но ты передовик и слава тебе ? быстрее работаешь , хорошо . нарушаешь регламент производства , наверняка тб . зачем ?",0,1,0.6136
крупнейший провайдер австралии заблокировал мировая практика как бы,0,1,0.7684765
"квинтэссенция человеконенавистничества в этих словах ротшильда . и после этого ещё некоторые не верят , что капитал есть источник фашизма . тупые люди не смогут стать богатыми , а умные смогут . ага , поэтому давайте сильно затрудним доступ к образованию , а то образование , что есть и без которого не обойтись , сделаем максимально узкоспециализированным , что бы человек сразу превращался в тупого , сделав лишь шаг в сторону от своей специализации . тогда можно будет бесконечно долго жить припеваючи , присваивая результаты труда этих людей . тупые всегда в итоге будут работать на умных . это скользкая дорожка: тупые не смогут поддерживать общественное производство , а умные могут начать соображать , что к чему . поэтому в итоге подобная система развалится , в один прекрасный день , как песочный замок . но водить за нос трудовой народ они могут еще долго .",1,0,0.23625839
"вещей нет , сама на иждивении мужа нахожусь ! пятое - десятое ! нет ли у вас какого - нибудь дурака на примете ?",0,1,0.6790484
прикольный чувак имхо . флешмоб с проститутками доставил .,1,0,0.3613676
косметика или косметическая операция ?,0,1,0.68819714
", оскорбление пользователя пикабу .",0,1,0.76816833
"ну если фейковые и недостоверные новости для тебя это источник всех твоих доводов , то вопросов нет . пиши и дальше подобные посты",1,0,0.3927326
так себе вариант работать бесплатно . жрать же что - то нужно,0,1,0.7537334
ну они будут писать отказы от госпитализации лечения .,0,1,0.790023
это когда электрик - мудак не проверил исправность защитного заземления,0,1,0.6815775
"мы раз тоже возвращали документы , работала на заправке и мужик паспорт забыл , посмотрели адрес прописки , позвонили в справочную узнали его номер и вызвонили .",0,1,0.5622809
а он тебя не кормит ) ? может тебе котлеток выслать ?,0,1,0.77936184
"купил электро бритву от филипс , бреюсь без воды , кремов и всякой этой херни . забыл что такое покупать лезвия каждый месяц и остальные расходники .",0,1,0.6523091
имеет . а причем тут говно - очки ? для красного словца видать .,1,0,0.10841058
"некуда бежать . бомбардировка пфорцхайма показала , что любой город и любой дом там могут быть объявлены военной целью .",0,1,0.6736479
"не выпустил ролик про оптимизацию в он же не специалист , такие вещи он берёт из гугла , зато умеет пиздеть , одну и ту же мысль растянет на 20 минут .",0,1,0.89000785
"ну давай разберём всё тобой написанное . бляядь , вы действительно думаете вы лучше пидорашек ? ну в целом , всё что живёт в рашке - затронуто говномидасом , но никто тут это не признает . сейчас воспитывают массу хороших кодеров в соседнем треде обоссали уже . иди обтекай . вы унижаете русских детей в школе я учился в рашке и у нас был класс , который состоял онли из русачков . думаешь , что то изменилось ? чурки тебе говна в жопу залили и заставили русачков в классе кошмарить омежных русачков ? я не люблю выражаться фразами нациков , но вы воистину столетия просто сидели в горах и ебали баранов , вас даже народ - пидор смог захватить . плоховато ты знаешь историю . когда русня пришла на кавказ , тут всё уже было поделено османами и персами . а потом ри наебала персов и постоянно нападала на османов высасывая причины из пальца , в принципе , русачки , что от них ещё было ожидать . в прошлом вы ( чеченцы , даги и прочие сорта ) были просто дикарями . . . а если говорить о среднеазиатах , которые бугуртят с оккупации , то вы были обычными нищими кочевниками очередной акт незнания истории . например у кавказцев по факту у народов отвественных за этногенез дагов и азеров уже был дербент , а русачков даже в планах не было . почитай историю кавказа и средней азии , там были и локальные империи и нагибы округи и прочее и прочее . называют русских пидорашками , славщитом . говоришь это так , будто бы в этом что то плохое . у меня знакомые po рашеры irl , которые являются русскими и которые ссут на русню с ещё большей колокольни чем я сейчас вас все боятся потому , что если пидорашка сделает в вас пару дырок , защищая себя , то его посадят на бутылку , а если вы убьёте пидорашку , то вам нихуя не будет . может потому что в рашке мочить с волыны ножа человека , который идёт на тебя с кулаками - превышение пределов самообороны ? кто виноват в том , что русня настолько вырожденческая , что один чеченский доходяга ставит на колени группу русачков ? ты думаешь , будь руснявая гопота менее вырожденческая , то так же людей не кошмарила ? кто виноват , что вы морозитесь или даёте по съебатору , когда видите , как вашего славянского друга избивают унижают ? да чего уж там , тот митинг вспомните , где жирик , какого то парня на колени поставил и все вокруг стоят и снимают , словно стадо руснявых баранов . зуб даю , в той толпе стояли его друзья и знакомые . лично для меня это пиздец , особенно проигрываю , когда там не какой нибудь братуха - борцуха , а смарчёк чеченский . никогда бы не бросил и не бросал друга в таком пиздеце и не важно , какой нации был друг , а какой нападавший . вся ваша проблема не том , что вы слабками , не в том , что большинство русачков еблом похож на свинью , не в том , что за тысячу лет существования не смогли построить нормальную цивилизацию и другим не давали . проблема в обыкновенной ошибке выжившего , вы видите кавказское быдло гопника , потому что оно в среднем сильнее , напористее , агрессивнее и образ кавказца , как лица которое представляет опасность выжигается у вас в мозгах , при этом не хотите замечать , что у вас , целые города набитые руснявыми ауешниками , потому что один среднестатистический руснявый гопник ауешник быдлойд сосёт у одного среднестатистического чуркобесского гопника быдлойда . в конечном итоге русачков в станице кущевской ебал кто ? другие русачки . в школу приезжали и выберали лолей на поёбку кто ? другие русачки . сжигал русачков кто ? другие русачки . всё вскрылось совершенно случайно . сколько таких станиц , деревень и городов по всей рашке ? аз - кун",1,0,0.31771556
"они занимаются явным черрипикингом . пример: 1 ) показывают инфографику сравнения и превосходства российского вооружения над западными странами , но почему то не показывают такую же инфографику о продолжительности жизни , средней месячной зарплате , спиде ? ; 2 ) сегодня смотрел новости утром . показывают новость: украинский военный флот давно стал темой шуток в сети и показывают видеоролик какого - то ютубера , в котором он смишняво про него шутит . хорошо , про украинский флот и аэрофлот и правда шутят в сети , но почему вы тогда никогда не показывали , как шутят в сети про президента пыню , или как в сети высмеивают его рост ? ну и третье: до трети новостей это всегда хохлы , а на политических ток - шоу вроде 60 минут хохлам отводиться 90 эфирного времени .",0,1,0.82235974
цитата . . . а негодные - могут в тылу работать .,1,0,0.32979807
"кто за рулем то , че съябывал ?",1,0,0.23611419
"слишком разная украина на западе и востоке , на севере и юге . де - факто это ликвидация ( украины ) де - факто ликвидацию украину ведет порось превращая её в 15ти миллионную аграрную страну . какая программа порося на 2019 год ? томос - армия - мова ? армавира ? её нет , или тот же пиздеж как в 2014 году ? или может вступать в ес будем в 2023 году ?",0,1,0.8041492
подписывайся на певдса ! ! 11,1,0,0.42534345
"антисоветских достаточно . и вы так говорите , как будто это что - то плохое . слава богу , ваш проклятый совок закончился . сейчас ваш хозяин ворошит эту тему вашими руками , но второй совок ему не построить . и либеральных тоже . да , я либерал , по - вашему - либераст ( как будто ваши инвективные искажения слов исказят их смысл , надейтесь дальше ) . я рожден свободным . кто - то выбирает лизание сапог хозяину , это их право , тоже вариант свободы . что же касается русофобии - это просто ваша манипуляция . безграничная любовь к начальству , поклонение жестоким демиургам туманного прошлого , боязнь свободы и привычка к стойлу и узде - это не обязательные черты русского характера , и если они кому - то не присущи - не обязательно это русофоб .",1,0,0.21704783
"то не число пи , а какой - то азиатский иероглиф , типа чаевые . внизу цифра больше , чем выше , значит чаевые это процент . все нормально . и вообще тут возможно округлено для упрощения оплаты . или хотите мелочью оплатить ?",0,1,0.83466583
"да у любого среднего монитора цветопередача будет лучше , чем у телевизора",0,1,0.6445394
традиционный гей - четверг . делаем пузыри с рыбами в космосе .,1,0,0.3990187
"смотря что за посылки , всякий хлам до 500 рублей отправляют без трек номера , поэтому они часто теряются .",0,1,0.5043301
суть: росстат политизирован на 200 и выдаёт новости какие надо первому каналу а какие ты новости то хотел ? независимых сми здесь нет . . . что скажут - то и вещают . демократия епт,0,1,0.8524153
"у моего коллеги на работе , все ещё намного проще , его безработная жена просто забрала у него зарплатную карточку , благо он не всю зарплату на неё получает .",0,1,0.62412006
файжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжж . жжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжэзш . х не,0,1,0.98317516
"да гомофобам плевать на достоверность , на пруфы , там - то мозга нет по определению , лол )",1,0,0.20445016
"ага , ебёшься с девушкой , а вокруг тебя ещё куча людей ебётся",0,1,0.9445791
"не , про засекречивание имущества нармас новость",0,1,0.6886827
"хорошо , но потом все равно сжечь ведьму",1,0,0.22928084
с каких пор гомосексуалы и трансгендеры - это одно и то же ?,1,0,0.16945665
жаль второй сезон всосный всё равно,0,1,0.9479446
а соседи - то чем достали ? собака лаяла ?,1,0,0.11356744
"не то , чтобы раздражают . . это как при задержании: всё что ты скажешь , будет обращено против тебя . дамочки знают о моём статусе , пробили мои возможности , но тем не менее , посягаются на святое в локальной морали - на семью . 1 . вопрос - с какой целью ? реально цели бывают разными , не всегда итог: создать ячейку вот именно с этим представителем . . если интересуются , как человеком с твоим внутренним миром и прочим - сразу отказ . иначе затянет , придётся выкручиваться . если решить что - то , или разбить семью - ну . . могу поиграть , пойти на встречу . переспать ? - легко , но вот продолжения не будет . естественно , за то , что воспользовался тем , что предложили - требует оплаты . мыж в век рынка живём . если пытаются крутить - резкий разрыв любых отношений . я то перед молодой женой - в любом случае оправдаюсь , да и нет такой доказательной базы . а вот хитровыдуманной может быть худо . в то , что девушку на 20 лет моложе меня может заинтересовать моё тело , или , скажем , навыки секса , я не верю . и даже если это будет так - сразу 1 пункт , не дай бог привяжусь к такой извращенке . одна есть уже . но , если я вдруг и привяжусь - буду часть того , что имею отдавать . за всё нужно платить . хотя я за разовые акции , а не за долговременные обязательства . теперь про ресурсы . в первом браке я был монахом . ни ни . мораль не давала , хотя бабло и возможности были уже тогда . когда встретил настоящую жену - всё было вообще шикарно , чтоб не тормозить на ней . но привязался к ней . и кобелить , мне в жопе шила нет . просто , как вы точно заметили - сам внимание привлекаешь . ну , раз - два в год кто - то и решается . приходится принимать решение . короче - я плачу , значит и музыку в отношениях заказываю я . а вот один из моих помощников 19 лет - спортсмен , красавец , язык подвешен , гроза девчонок - он сразу себя вёл , как я сейчас . ну так и ресурсы у него сразу были . природные . извиняюсь , за сумбур , возможно не ответил чётко . но на медовую ловушку я уже пойман . остальные женщины - только тела . с проблемами , но без души . для меня .",1,0,0.15719695
у них с логикой как раз все в порядке .,1,0,0.014395997
и это великая нация . . . грустно,1,0,0.110904366
"обезьяна ковыряется в жопе , нюхает палец и падает с ветки . gif",0,1,0.6477977
"мань , я бывал в сша и свои фантазии оставь при себе .",1,0,0.102993056
такое ощущение что сеть просто искажает готовые фото .,0,1,0.79390687
"защита от химки , яо и противотанковых средств это явно не от народа , дурачка та не включай тут как бы фиделя вспомнить , учитывая врагов , защита лишней не бывает . . .",1,0,0.4229148
какой - то лысый интерес у тебя (,1,0,0.19565135
"но ведь когда одевают такой лифчик внешний мир нагревается меньше , т . е . всё таки охлаждается . . .",0,1,0.55331016
"а вообще чувак гений , просто подумайте , даже если бы она сказала ок давай расставаться , он бы избежал как минимум неловкой ситуации . ну или в худшем случаи 5 - 10 лет жизни не потратил бы на нее .",1,0,0.2984781
вроде же к 14ф обещали . опять сроки перенесли ?,0,1,0.7821355
"кто придумал чистить снег на мембранной кровле ? у вас неконтролируемый позыв чистить везде снег ? а так хорошо все сэкономили . дешёвый проект , нафиг технадзор , подрядчик подешевле . всё правильно сделали .",0,1,0.55294585
именно икранчики у гнусмусов прям за душу берут,1,0,0.3536384
"это обязательное условие , чтобы нормально питаться ? . .",0,1,0.6894848
"конечно , конечно ! ты прав ! ой , какой я тупой . . . извините , больше не позволю высказывать свое мнение , и свои знания . как недальновидно - то . . .",0,1,0.6264468
"шшшшшш , тш тш тш тшшшш , спокойно , всё хорошо , я прикалываюсь ; - ) грамматик доминатус !",1,0,0.40598196
"если это бабы - борцуны за равноправие , то зачем они выглядят - как мужчины ? они уподобились своим угнетателям ?",1,0,0.21413419
норм . все топливо да топливо .,0,1,0.66982806
не сказать . многие гражданским браком называют сожительство . из той же серии .,0,1,0.6647163
"после одного накипело ? выпей седативного , сходи к психиатру . когда будешь с другой стороны - вспомни свои слова . . а то приходят , сразу хочу хорошую зарплату , вот моё резюме , в нем всё красиво . на втором вопросе спрашивают , как им лучше подготовиться на следующий раз , и получают ответ: начните с 5 - 6 класса школы . некоторым лучше начать сразу с рождения , интеллект там и не ночевал .",1,0,0.2196723
"даже загадывать кого в расход пустят страшно . . . пишу , а сердечко нет нет да и попримолкнет . . .",1,0,0.037959985
"проверим ватоадмина хамство чек , постоянно перебивает гостей стримов чсв чек , просто в каждой бочке затычка любовь ходить в гости без приглашения наверняка любит , но из - за вежливости не ходит . ватность в терминальной стадии ну тут и говорить не о чем . всё сходится .",1,0,0.38025102
ты ещё проо диван в фитнес - центре вспомни,0,1,0.9221225
потому что он гомогеев убивал .,0,1,0.80981374
"ссылки я давал , модератор в мягкой и корректной форме послал меня нахер",0,1,0.68885195
"как я понимаю , у поверхностей отражаемость поглощаемость разная . типо нельзя прям до градусов температуру разных материалов сравнивать .",0,1,0.67045045
нехуй было кировлес воровать .,1,0,0.040817574
"что толстого , тупая промытка ? скины не все заукраинские . речь о малой части самых тупых и внушаемых .",1,0,0.38136336
меняли с пурины на hill s и гипоаллергенный дорогой,0,1,0.508583
"аккреция , как же аккреция ?",0,1,0.7893627
"какой у тебя мусор в голове . сисян либерален , но в чем его русофобия ? вся оппозиция бэдконины заключается в том что эта власть сейчас вместо совка . ну и то что минкульт бабло на фильмы выдает . все , больше ничего оппозиционного .",1,0,0.48659626
"житель киева в результате неосторожного обращения с огнестрельным оружием выстрелил собственной матери в живот . спустя несколько дней женщина скончалась в больнице . фигуранту данного дела грозит до 5 лет лишения свободы . об этом сообщила пресс - служба нацполиции киева во вторник , 19 март . отмечается , что в дежурную часть деснянского управления полиции поступил вызов об огнестрельном ранении на проспекте владимира маяковского . на вызов немедленно прибыли экипажи патрульных и следственно - оперативная группа управления полиции . по словам начальника деснянского управления полиции александра косовского , на месте правоохранители выяснили , что 36 - летний мужчина случайно выстрелил из револьвера под патрон флобера и ранил мать в живот . киевлянин длительное время пьянствовал , из - за этого между ним и матерью возникали конфликты . в тот день ссора закончилась госпитализацией 68 - летней потерпевшей в больницу . через неделю из медицинского учреждения мы получили сообщение о смерти женщины . в ходе получения дополнительных материалов следователи переквалифицировали уголовное производство из неосторожного тяжкого телесного повреждения на убийство по неосторожности , говорится в сообщении . следователем следственного отдела деснянского управления полиции мужчине объявлено о подозрении в совершении преступления , предусмотренного ст . 119 ( убийство по неосторожности ) уголовного кодекса украины . санкция статьи предусматривает до пяти лет лишения свободы .",1,0,0.30866772
"дружище , спасибо большое ! билеты куплены .",0,1,0.7368189
может он донаты на похороны бабке собирает ?,0,1,0.94828254
кстати сейчас цех запускаем как раз с стх310 и стх510 . неплохие станки .,0,1,0.6029501
"если что - то выглядит как лахта , гавкает как лахта и дергает себе анус как лахта , зачем искать под кроватью шизиков , это по факту лахта и есть .",1,0,0.2200177
"возможно , ты красивая",0,1,0.8566315
"даже десятков лет . там толщина металла ояебу , да и сам металл неплохой должен быть .",0,1,0.93026644
"подъехал на своей машине к месту , освобождаешь нужное тебе место от арендной машины , загоняешь на её место свою , а уже потом отгоняешь арендную машину куда подальше .",1,0,0.32295278
главное не забывать сравнивать россию с сша или европой при обсуждении проблем россии .,0,1,0.5570951
"моя так хвост лизала , только она была не после операции . оказалось нервное , пропили успокоительные и все норм . может и у вашей так же ? перенервничала после операции , и лижет ?",1,0,0.2583963
зато он мог выйти из машины не отцепляя регика,0,1,0.65708905
"бред , в том что берется не разъем , который стоит около ста рублей , в который не разу не герметичненько вбиваются провода , а пара пассивных инжекторов за двести , хвостик которого у вас и подгнил , и один из них запаивается в корпусе камеры , а то что вы сделали типичный тяп - ляп , про три рубля - обычный фразелогизм",0,1,0.5112329
потому что это мастер . а вы действительно бе - бе - бе . .,0,1,0.6632403
"выпь , заку , и бабу тра .",1,0,0.2985337
форма сосков прикольная . мне такие нравятся,0,1,0.7558191
